TLS_tree_id,TLS_x,TLS_y,TLS_z,field_X_local,field_X_utm,field_X_utm_korj,field_KoealaId,field_KoealaNro,TLS_dbh,TLS_tree_ht,field_D,field_DEst,field_H,field_HEst,field_H_Laser,field_H_Laser_korj,field_match,distance,cost,field_PuuLk,field_TEst,field_VEst,dbh,h,hmax,d05,d6,hstemmax_rawtapercurve,hstemmax_stempc,hstemmax_tapercurve,pointcount,stempointcount,stempointcount_clean,crownpointcount,ba,vlog,vol,vpulp,tree_specie,treesp,Ulkona,distance_to_threedfin_cm,threedfin_match,threedfin_dbh,threedfin_hmax,threedfin_x,threedfin_y
56,615472.86,6927664.3,103.24,NA,NA,615472.74,572638,0,0.07,10.23,7.7,7.7,10.2,10.2,9.69,10.32,7459378,0.167597732412963,0.240597732412963,1,21,25.24,9.52536666833365,6.19873999999999,6.19873999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,11.1373488861663,31,0,10.3922053127519,615472.914274213,6927664.20274588
58,615473.72,6927664.41,103.25,NA,NA,615473.654,572638,0,0.07,10,6.5,6.5,NaN,6.2,NaN,NaN,7459379,0.25180349460221,0.68180349460221,1,21,12.19,11.8587607357805,10.1,10.18656,9.47777903575921,8.17008456016542,6.457,6.44831000000001,2.133,158118,62137,14088,95981,0.0110450705658644,0,0.0648945498158669,0.0621368136657288,1,1,NaN,11.2610097436764,26,0.213156333478402,11.7430268407968,615473.776439062,6927664.50744571
59,615481.85,6927664.22,102.99,NA,NA,615481.727,572638,0,0.17,12.01,14.9,14.9,NaN,11.75,11.14,11.75,7459387,0.359684583604757,0.595684583604757,1,23,102.34,16.4660755759934,12.1,12.12731,14.8829302658545,14.8829302658545,8.09,8.69981,6.53,306868,57110,56156,249758,0.0212946295923226,0.0368357922629016,0.162973553482248,0.124194674987268,2,2,NaN,11.5644193524203,45,0,12.1823387281906,615481.753112963,6927664.28313859
60,615484.02,6927664.71,102.84,NA,NA,615483.972,572638,0,0.15,10.93,14.6,14.6,10.8,10.8,9.94,10.55,7459416,0.346342316562151,0.399342316562151,1,23,90.03,16.396500687339,11,11.04959,13.0736068797533,12.381345319857,5.81,5.84907,5.75,193780,55144,55082,138636,0.021115055364215,0.0358860359129894,0.129976074215929,0.0919119049489158,2,2,NaN,3.93606949212669,12,0.173313384149876,11.066032867885,615484.019139609,6927664.74935129
61,615469.63,6927666.72,103.46,NA,NA,615469.529,572638,0,0.17,9.29,15.3,15.3,9.5,9.5,NaN,NaN,7459430,0.110571243993119,0.301571243993119,1,21,92.5,16.4033803890345,9.4,9.43621999999999,14.6363510012939,12.3129282640754,7.16,7.19722,4.67,641218,199984,188469,441234,0.0211327781406075,0.0374515208460141,0.128235236187069,0.0894192679060842,1,1,NaN,0.493791464525321,42,0.162354967621144,10.571919818218,615469.62680951,6927666.71623121
62,615470.26,6927666.1,103.42,NA,NA,615470.248,572638,0,0.15,11.73,13.2,13.2,NaN,11.59,10.98,11.59,7459431,0.132544331492833,0.326544331492833,1,23,81.12,14.044337447341,11.8,11.82871,11.8097897033814,11.7681107641102,6.92,7.19672,6.92,801854,195944,195867,605910,0.0154914615360782,0,0.111466115539222,0.109399589274141,2,2,NaN,2.36394983971882,41,0.13920635731508,11.8675996545014,615470.253245615,6927666.12265401
63,615469.2,6927670.37,103.63,NA,NA,615468.803,572638,0,0.13,9.4,12,12,NaN,10.71,10.1,10.71,7459436,0.467566038346388,0.698566038346388,1,23,62.66,13.7445326401396,9.5,9.54984,13.0066832726084,11.0650627994133,4.73,5.84982000000001,4.73,303669,122643,119949,181026,0.0148371277248664,0,0.0975089024454047,0.0956913482943811,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,615471.96,6927668.69,103.49,NA,NA,615472.587,572638,0,0.07,5.74,7.5,7.5,NaN,6.99,NaN,NaN,7459397,0.627287812806775,0.802287812806775,1,22,17.16,9.51345993913494,5.8,5.88885999999999,9.26106374355073,0,3.314,3.29988,3.314,220191,20585,20585,199606,0.00710831833552192,0,0.0297900880284867,0.0281181464415674,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,615478.67,6927662.42,103.01,NA,NA,615478.653,572638,0,0.19,13.4,18.9,18.9,NaN,13.45,12.83,13.45,7459382,0.0994635613931876,0.114463561393188,1,21,188.55,19.7596410141111,13.4,13.49465,13.9417782731961,14.3394422292759,9.65,10.04532,7.19,588723,111700,108298,477023,0.0306653539485968,0.116728622466627,0.206631788931183,0.0877147261127126,1,1,NaN,1.1049478998116,23,0.197885577103049,13.4257920055393,615478.678227987,6927662.41262496
67,615473.85,6927664.56,103.22,NA,NA,615473.837,572638,0,0.09,10.86,10.2,10.2,NaN,10.58,9.95,10.58,7459380,0.0401621718360741,0.188162171836074,1,21,45.49,11.8943843905736,7.09938,7.09938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,615481.04,6927666.11,103.1,NA,NA,615481.091,572638,0,0.13,10.52,9.8,9.8,10.7,10.7,9.69,10.3,7459388,0.0612943716560244,0.399294371656024,1,23,43.28,9.82728339124502,10.6,10.69969,9.00383701510626,8.2212849955939,6.59,6.59969000000001,4.58,574772,64162,60968,510610,0.00758502194274276,0,0.053609708365818,0.0503725087050325,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,615475.33,6927664.65,103.21,NA,NA,615475.246,572638,0,0.13,11.91,13.1,13.1,12.1,12.1,10.99,11.6,7459381,0.15143315365886,0.18043315365886,1,23,83.89,14.4422914891359,12,12.04076,12.7658033172606,12.7658033172606,8.6,9.88779000000001,5.87,956687,153116,150995,803571,0.0163818178849097,0,0.122862715728602,0.120759629939124,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,615471.81,6927660.02,102.9,NA,NA,615471.741,572638,0,0.07,9.84,8,8,9.6,9.6,8.62,9.25,7459368,0.0782943163250693,0.202294316325069,1,21,25.89,9.4586854146814,9.9,9.94466,9.4120150618369,9.4120150618369,7.211,7.19865999999999,7.211,445329,175158,175158,270171,0.00702670052496021,0,0.0569527244932737,0.0552860486118961,1,1,NaN,6.64867824355058,11,0.130828632465546,10.6476299516342,615471.800471809,6927660.0858005
82,615476.37,6927666.99,103.26,NA,NA,615476.347,572638,0,0.13,10.23,10.8,10.8,9.9,9.9,9.17,9.8,7459391,0.20231164114511,0.45531164114511,1,21,48.17,8.4508811496456,10.3,10.34661,8.4508811496456,8.4508811496456,7.113,7.09911,3.43,605888,180082,130374,425806,0.00560910886727842,0,0.0506081882343667,0.0491213075738484,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,615477.7,6927670.06,103.36,NA,NA,615477.711,572638,0,0.19,13.98,21.2,21.2,NaN,13.62,13.01,13.62,7459401,0.174347354093454,0.430347354093454,1,23,224.56,22.8548614780469,14.1,14.14834,16.1368135086142,18.0529919654233,8.99,9.68982,6.62,2916354,279633,278318,2636721,0.0410248562684537,0.244300812311713,0.294152593231702,0.0474503131982781,2,2,NaN,0.605559809720374,43,0.200233361441456,14.1007905338222,615477.694478826,6927670.05751265
85,615479.84,6927672.3,103.41,NA,NA,615479.842,572638,0,0.19,12.58,16.8,16.8,NaN,12.61,12,12.61,7459403,0.0560357027696981,0.279035702769698,1,23,137.01,19.5305432330472,12.6,12.69126,15.0307556442323,15.2960120222316,12.5,12.62551,7.52,1300822,186100,185043,1114722,0.0299583939687695,0.119052157686417,0.200949625803216,0.079998552785945,2,2,NaN,3.23281016542149,38,0.203151990386253,12.7293127790532,615479.858899799,6927672.27377208
87,615483.31,6927667.39,103.04,NA,NA,615483.43,572638,0,0.17,11.44,14.7,14.7,NaN,11.07,10.46,11.07,7459418,0.15945218686861,0.42645218686861,1,23,93.6,17.4644933137236,11.5,11.59952,10.6850994621386,10.3426488016245,10.55,11.44655,6.44,371617,105384,104406,266233,0.0239553136694743,0.0585629338574617,0.125212105043675,0.0635536325355538,2,2,NaN,3.24923490285288,20,0.168686279357844,11.595725480263,615483.325815883,6927667.41838328
88,615477.8,6927667.24,103.2,NA,NA,615477.907,572638,0,0.07,5.34,6.3,6.3,NaN,5.8,NaN,NaN,7459390,0.141113429638471,0.257113429638471,1,21,10.51,10.3393241467703,5.29979,5.29979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,615480.41,6927670.59,103.26,NA,NA,615480.411,572638,0,0.07,9.09,7.8,7.8,NaN,7.29,NaN,NaN,7459402,0.00509901939048845,0.265099019390488,1,22,19.2,20.6570120008626,9.1,9.14360000000001,14.8728511030929,10.9849967560628,3.814,3.79988999999999,2.142,584502,97230,52708,487272,0.0335138934828277,0.162229958742963,0.200803699440162,0.0369791292593238,2,2,NaN,0.651417319664408,36,0.0722602483742645,11.0358809861775,615480.404136546,6927670.58716198
